source_id,organization,source_title,source_type,url,publication_year,accessed_date,geographic_scope,source_status,official_or_secondary,relevance,notes
SRC_001,NSDC,CNC Operator / Machining Technician L3 - QP ASC/Q3501,NSDC,https://nsdcindia.org/sites/default/files/ASCQ3501_CNC_Operator_Machining_Technician_L3_v1_09.05.2018.pdf,2018,2026-09-16,India,CURRENT,Official,Primary QP for CNC Operator,Automotive Skills Development Council
SRC_002,NSDC,CNC Operator / Machining Technician L4 - QP ASC/Q3503,NSDC,https://nsdcindia.org/sites/default/files/ASCQ3503_CNC_Operator_Machining_Technician_v1_21_06_2019.pdf,2019,2026-09-16,India,CURRENT,Official,Advanced QP for CNC Operator,Level 4 variant
SRC_003,NSDC,Assistant Electrician - QP PWD/CON/Q0602,NSDC,https://nsdcindia.org/sites/default/files/PWD_CON-Q0602_Assistant-Electrician_15_02_2019.pdf,2019,2026-09-16,India,CURRENT,Official,PwD-adapted QP for Electrician,Originating sector: Construction; Originating QP: CON/Q0602
SRC_004,NSDC,Mechanic / Fitter - QP MIN/Q0304,NSDC,https://nsdcindia.org/sites/default/files/MC_MIN-Q0304_Mining---Mechanic-Fitter_0.pdf,2015,2026-09-16,India,CURRENT,Official,QP for Fitter,Mining sector
SRC_005,NSDC,Construction Welder - QP CON/Q1252,NSDC,https://nsdcindia.org/sites/default/files/CONQ1252_Construction_Welder_v2.0_03_09_2021.pdf,2021,2026-09-16,India,CURRENT,Official,QP for Welder,Construction Skill Development Council
SRC_006,NSDC,Solar Domestic Water Heater Technician - QP SGJ/Q0601,NSDC,https://www.nsdcindia.org/sites/default/files/QP_SGJ-Q0601_Solar_Domestic_Water_Heater_Technician.pdf,2016,2026-09-16,India,CURRENT,Official,QP for Solar Technician,Skill Council for Green Jobs
SRC_007,NSDC,Solar PV Installer (Suryamitra) - QP PWD/SGI/Q0101,NSDC,https://nsdcindia.org/sites/default/files/PWD_SGI-Q0101_Solar_PV_Installer_Suryamitra.pdf,2019,2026-09-16,India,CURRENT,Official,PwD-adapted QP for Solar PV Installer,Skill Council for Green Jobs
SRC_008,NSDC,Solar Panel Installation Technician - QP ELE/Q5901,NSDC,https://nsdcindia.org/sites/default/files/QP_ELE-Q5901_Solar_Panel_Installation_Technician.pdf,2019,2026-09-16,India,CURRENT,Official,QP for Solar Panel Installation,Electronics Sector Skills Council
SRC_009,NSDC,Beauty Therapist - QP PWD/BWS/Q0102,NSDC,https://nsdcindia.org/sites/default/files/PWD_BWSQ0102_Beauty_Therapist_v2_15_02_2019.pdf,2019,2026-09-16,India,CURRENT,Official,PwD-adapted QP for Beauty Therapist,Originating sector: Beauty & Wellness
SRC_010,NSDC,Hair Stylist - QP BWS/Q0202,NSDC,https://nsdcindia.org/sites/default/files/BWSQ0202_Hair_Stylist_v2_07_02_2019.pdf,2019,2026-09-16,India,CURRENT,Official,QP for Hair Stylist,Beauty & Wellness Sector Skill Council
SRC_011,NSDC,Dairy Farmer/Entrepreneur - QP PWD/AGR/Q4101,NSDC,https://nsdcindia.org/sites/default/files/PWDAGRQ4101_Dairy_Farmer_Entrepreneur_v1_04_11_2019.pdf,2019,2026-09-16,India,CURRENT,Official,PwD-adapted QP for Dairy Farmer,Agriculture Skill Council of India
SRC_012,NSDC,Bar Bender and Steel Fixer - QP CON/Q0203,NSDC,https://www.csdcindia.org/sites/default/files/CONQ0203_Bar_Bender_and_Steel_Fixer.pdf,2021,2026-09-16,India,CURRENT,Official,QP for Bar Bender and Steel Fixer,Construction Skill Development Council
SRC_013,NSDC,Brick Mason - QP CON/Q0113,NSDC,https://www.csdcindia.org/sites/default/files/CONQ0113_Brick_Mason.pdf,2021,2026-09-16,India,CURRENT,Official,QP for Brick Mason,Construction Skill Development Council
SRC_014,NSDC,Warehouse Claims Coordinator - QP LSC/Q2117,NSDC,https://lsc-india.com/sites/default/files/LSCQ2117_Warehouse_Claims_Coordinator.pdf,2023,2026-09-16,India,CURRENT,Official,QP for Claims Coordinator,Logistics Sector Skill Council
SRC_015,NSDC,Domestic Data Entry Operator - QP SSC/Q2212,NSDC,https://www.nsdcindia.org/sites/default/files/SSCQ2212_Domestic_Data_Entry_Operator.pdf,2019,2026-09-16,India,CURRENT,Official,QP for Data Entry Operator,IT-ITeS Sector Skill Council
